Date,Sharpe,HRP,Sortino,SPY
2023-01-04,99856.76484629339,100139.53233067652,99911.05827897176,100772.02600086268
2023-01-05,99326.01017748038,99076.27314454234,99416.64545198147,99621.88238755864
2023-01-06,100329.21074457667,100589.51845996929,100393.7756175447,101906.41227551016
2023-01-09,98948.69586766706,99915.5244387022,99024.17162226817,101848.64929932087
2023-01-10,99091.29430386341,100283.18223873725,99185.03297424376,102562.9039646634
2023-01-11,99874.65930584396,101354.68221994652,100074.65914269257,103860.09656698997
2023-01-12,100157.69663501029,101525.35516577108,100364.13381385843,104238.2392574239
2023-01-13,99736.11693994974,101745.3499773316,99884.2723522794,104642.62188740315
2023-01-17,99131.24238472705,101301.51408897046,99248.69288918478,104450.93407162942
2023-01-18,97235.33641707081,99512.04966520549,97380.75340966877,102801.84707774511
2023-01-19,97447.95489637858,98856.96790295013,97649.41220740089,102053.4779831944
2023-01-20,98183.5459721722,100094.8063719453,98443.14616810279,103954.62388026764
2023-01-23,97877.18765343615,100334.28870370198,98212.51225117025,105201.93635539863
2023-01-24,98485.60331018768,100685.97563230357,98809.83417548047,105089.03523290767
2023-01-25,98604.12399918123,100730.67703615941,98942.04751274375,105128.42439988363
2023-01-26,99421.29966497583,101300.545753633,99766.9624818878,106283.80931363207
2023-01-27,98415.79341136376,101328.82641460632,98749.71967434043,106528.01880515068
2023-01-30,96976.86564801859,99728.40444014815,97260.05253830408,105191.44539517899
2023-01-31,98682.7788273261,101317.21617842937,98990.43191296433,106738.09714879942
2023-02-01,98521.37489557294,101941.1997727256,98784.29107072049,107872.5001421086
2023-02-02,96564.06470336589,102275.75203192796,96878.72089951816,109442.80044271016
2023-02-03,96499.15908693362,101695.66966085682,96745.0592617659,108279.49924264461
2023-02-06,96372.8539370932,101237.01608973174,96659.12307087377,107617.78297170867
2023-02-07,97324.70986612877,102170.27492306863,97734.79706342098,109025.26858530028
2023-02-08,97148.2536837772,101393.02195806282,97537.65352683348,107833.1026158018
2023-02-09,96887.31637744622,100509.80787538266,97309.84598110495,106898.28700592174
2023-02-10,98657.80126001654,101223.6330912229,99087.52900336575,107147.73779788474
2023-02-13,99019.46252972752,102226.44218189472,99447.38176460411,108405.54123323533
2023-02-14,98291.15416086964,101849.88729487803,98696.79332561097,108355.66110603976
2023-02-15,97652.63558707562,101568.51250079433,98048.3986384814,108707.53041960495
2023-02-16,97037.28636064994,100559.03475588778,97472.73962527598,107210.7587931801
2023-02-17,97352.82599696545,100807.97446941645,97686.3603710899,106942.9258326729
2023-02-21,96278.85051211595,98881.8231257697,96522.81874645126,104797.55372541935
2023-02-22,95870.25467721322,98739.96075076096,96099.54830618892,104653.12956628443
2023-02-23,96192.18789224216,99391.97587887464,96436.53157439754,105209.82756372313
2023-02-24,95577.13099964587,98526.84482076079,95863.1867271045,104085.92388996441
2023-02-27,95460.76893956229,98612.46487004955,95761.018648759,104440.43475207892
2023-02-28,94540.51260227719,97960.635576601,94901.82921091627,104054.41757198215
2023-03-01,94584.17412210008,97478.19487877989,94933.22619337476,103655.2595237856
2023-03-02,95085.46417392568,98139.77614094206,95406.19824172265,104461.41667251816
2023-03-03,95979.16136026949,99497.27095752001,96341.8525913629,106136.7770432712
2023-03-06,96753.30489920311,100055.81913969471,97211.15842639212,106210.28899878617
2023-03-07,95253.11775483702,98445.21324142186,95710.94467156223,104582.22572199536
