Rebalance_Date,Ticker,Weight
2026-01-02,HRP:V,0.121401929781886
2023-01-03,Sortino:V,0.0
2024-01-03,Sortino:V,0.020000000000000327
2025-01-03,Sortino:V,0.07106945784645063
2026-01-02,Sortino:V,0.020000000000008324
2023-01-03,Sharpe:XOM,0.25
2024-01-03,Sharpe:XOM,0.04273
2025-01-03,Sharpe:XOM,0.07713
2023-01-03,HRP:XOM,0.08888435651641854
2024-01-03,HRP:XOM,0.10280075071668694
2025-01-03,HRP:XOM,0.12437634386155355
2023-01-03,Sortino:XOM,0.25
2024-01-03,Sortino:XOM,0.0
2025-01-03,Sortino:XOM,0.0
2024-01-03,Sharpe:AVGO,0.0223
2025-01-03,Sharpe:AVGO,0.02723
2026-01-02,Sharpe:AVGO,0.06118
2024-01-03,HRP:AVGO,0.04708478561263844
2025-01-03,HRP:AVGO,0.0
2026-01-02,HRP:AVGO,0.03200762182761696
2024-01-03,Sortino:AVGO,0.08275433641389182
2025-01-03,Sortino:AVGO,0.0
2026-01-02,Sortino:AVGO,0.06086367871381001
2024-01-03,Sharpe:LLY,0.22808
2025-01-03,Sharpe:LLY,0.0
2026-01-02,Sharpe:LLY,0.16483
2024-01-03,HRP:LLY,0.05600470229133581
2025-01-03,HRP:LLY,0.08204079076467027
2026-01-02,HRP:LLY,0.06649841887618585
2024-01-03,Sortino:LLY,0.25
2025-01-03,Sortino:LLY,0.02
2026-01-02,Sortino:LLY,0.14477790257225637
2024-01-03,Sharpe:META,0.25
2025-01-03,Sharpe:META,0.08814
2026-01-02,Sharpe:META,0.0
2024-01-03,HRP:META,0.027512529131519785
2025-01-03,HRP:META,0.04354633321503872
2026-01-02,HRP:META,0.03262588178058867
2024-01-03,Sortino:META,0.25
2025-01-03,Sortino:META,0.12741943038084805
2026-01-02,Sortino:META,0.020000000000011533
2026-01-02,Sharpe:ORCL,0.0
2026-01-02,HRP:ORCL,0.022551285169869456
2026-01-02,Sortino:ORCL,0.02000000000000264
2026-01-02,Sharpe:WMT,0.21649
2026-01-02,HRP:WMT,0.12353036568555907
2026-01-02,Sortino:WMT,0.24999999999997646
