Date,AAPL,AMZN,AVGO,BRK-B,GOOGL,HD,JNJ,JPM,LLY,META,MSFT,NVDA,ORCL,PG,TSLA,UNH,V,WMT,XOM,SPY,RF
2021-01-04,125.85670471191406,159.3314971923828,38.253108978271484,228.4499969482422,85.5990219116211,232.1048126220703,135.05966186523438,110.05192565917969,156.79429626464844,266.8459777832031,208.4065399169922,13.076017379760742,59.305763244628906,120.75613403320312,243.2566680908203,319.66204833984375,209.5729217529297,45.541053771972656,33.69378662109375,343.3191833496094,3.622371473088748e-05
2021-01-05,127.41275787353516,160.92550659179688,38.5121955871582,227.47000122070312,86.2893295288086,233.97804260253906,136.6475830078125,110.65074157714844,157.57118225097656,268.8601379394531,208.60757446289062,13.366435050964355,58.570831298828125,121.52720642089844,245.0366668701172,315.3634033203125,206.4451141357422,45.29863739013672,35.31758499145508,345.6836853027344,3.771772260074968e-05
2021-01-06,123.12385559082031,156.91900634765625,38.27471160888672,230.27000427246094,85.43785095214844,235.31480407714844,137.93348693847656,115.84645080566406,155.67642211914062,261.2597351074219,203.19854736328125,12.578445434570312,58.43075942993164,122.80640411376953,251.9933319091797,328.59808349609375,204.62620544433594,45.58145523071289,36.218788146972656,347.7503356933594,4.113611014044949e-05
2021-01-07,127.32524108886719,158.10800170898438,39.8876953125,232.8800048828125,87.9897689819336,234.16273498535156,138.3994903564453,119.65071868896484,157.10693359375,266.6474914550781,208.98094177246094,13.305858612060547,58.89768981933594,121.65860748291016,272.0133361816406,333.8663024902344,205.7714385986328,45.578346252441406,36.502952575683594,352.9170837402344,4.227491730590671e-05
2021-01-08,128.4241943359375,159.13499450683594,40.09010314941406,234.02999877929688,89.1546401977539,236.651611328125,138.1147003173828,119.7828598022461,157.6564483642578,265.4866027832031,210.25425720214844,13.238801956176758,59.18718338012695,121.60601806640625,293.3399963378906,332.3663024902344,207.34979248046875,45.57213592529297,36.90890884399414,354.9279479980469,4.360966114447251e-05
2021-01-11,125.43849182128906,155.7104949951172,40.10090637207031,233.42999267578125,87.09465789794922,238.5336456298828,137.5364990234375,121.57051086425781,176.15911865234375,254.84017944335938,208.21505737304688,13.582565307617188,58.86033248901367,120.78243255615234,270.39666748046875,329.95172119140625,204.88604736328125,45.777259826660156,38.02933120727539,352.5353698730469,4.466928317414798e-05
2021-01-12,125.2634506225586,156.04150390625,40.42745590209961,233.02999877929688,86.15938568115234,243.01882934570312,136.4663543701172,123.4814682006836,169.3946990966797,249.1349334716797,205.76426696777344,13.446206092834473,58.29068374633789,120.08146667480469,283.14666748046875,326.86029052734375,201.007568359375,46.29939270019531,38.87370681762695,352.60992431640625,4.4904718549787503e-05
2021-01-13,127.29605102539062,158.29449462890625,40.5911865234375,234.50999450683594,86.64636993408203,241.01365661621094,136.25926208496094,123.59593963623047,175.7422332763672,249.68063354492188,207.11412048339844,13.493073463439941,57.95450973510742,120.26544952392578,284.8033447265625,324.7292175292969,201.47915649414062,45.82698059082031,39.31212615966797,353.55938720703125,4.29423474586077e-05
2021-01-14,125.37042999267578,156.37350463867188,40.668556213378906,235.02000427246094,85.83656311035156,235.99195861816406,138.64105224609375,124.31806182861328,176.8696746826172,243.72735595703125,203.93568420410156,13.162519454956055,57.524925231933594,118.98624420166016,281.6666564941406,320.6042175292969,194.27073669433594,45.67780685424805,40.84661865234375,352.3212585449219,4.455156026916818e-05
2021-01-15,123.64903259277344,155.21249389648438,40.10900115966797,233.49000549316406,85.67290496826172,242.36805725097656,138.3390655517578,122.09008026123047,180.7350616455078,249.40280151367188,203.5814666748047,12.822745323181152,57.69301986694336,118.09252166748047,275.38665771484375,321.3084411621094,194.01087951660156,44.95363998413086,38.8818244934082,349.75189208984375,4.329564372085315e-05
2021-01-19,124.32009887695312,156.03799438476562,41.31626892089844,234.5500030517578,88.49212646484375,240.25729370117188,140.4792938232422,121.56170654296875,188.03945922851562,259.0670166015625,207.20986938476562,12.988019943237305,57.23543930053711,117.05863189697266,281.51666259765625,322.12255859375,194.07826232910156,44.565147399902344,39.65311813354492,352.4980773925781,4.309937084734372e-05
2021-01-20,128.40476989746094,163.16900634765625,41.55105972290039,234.75999450683594,93.23294830322266,241.2334442138672,140.13409423828125,119.73880004882812,190.67323303222656,265.3972473144531,214.77293395996094,13.327547073364258,57.487579345703125,115.59539031982422,283.48333740234375,320.8877868652344,198.26467895507812,45.224037170410156,40.213340759277344,357.3761901855469,4.302085992646809e-05
2021-01-21,133.11181640625,165.34950256347656,41.99547576904297,234.16000366210938,93.43524932861328,245.410888671875,139.5731201171875,118.7348861694336,191.70590209960938,270.74530029296875,215.37611389160156,13.827863693237305,57.160728454589844,115.48167419433594,281.663330078125,324.69256591796875,197.42738342285156,45.018917083740234,39.06044006347656,357.7020568847656,4.376665823646597e-05
2021-01-22,135.25144958496094,164.6114959716797,41.83353805541992,232.9199981689453,93.85231018066406,249.76419067382812,141.143798828125,117.81900787353516,195.29656982421875,272.3626403808594,216.3142547607422,13.673304557800293,56.366966247558594,114.5914077758789,282.21331787109375,317.87860107421875,194.4247283935547,45.4788932800293,38.50835037231445,356.4359130859375,4.306011324040071e-05
2021-01-25,138.9957275390625,164.6999969482422,41.81285095214844,233.00999450683594,93.9375991821289,250.71400451660156,143.2408905029297,116.34838104248047,201.17990112304688,275.8453063964844,219.74159240722656,13.61422348022461,56.87124252319336,116.56590270996094,293.6000061035156,318.116455078125,193.42385864257812,45.43849182128906,38.07803726196289,357.8417053222656,4.1057555840717797e-05
2021-01-26,139.22915649414062,166.30650329589844,41.7300910949707,231.57000732421875,94.61549377441406,248.53298950195312,147.1243896484375,115.87284088134766,201.53042602539062,279.8538513183594,222.42218017578125,13.39684772491455,57.711692810058594,117.31517028808594,294.36334228515625,313.8176574707031,194.41510009765625,45.84563064575195,37.241783142089844,357.28314208984375,4.1057555840717797e-05
2021-01-27,138.1593475341797,161.62899780273438,40.00554656982422,227.36000061035156,90.20147705078125,241.01365661621094,144.880615234375,112.596923828125,196.6512908935547,270.02099609375,222.96788024902344,12.880828857421875,58.412086486816406,113.16341400146484,288.0533447265625,304.5616149902344,187.63975524902344,44.705013275146484,36.8195915222168,348.55096435546875,4.003626049486897e-05
2021-01-28,133.3258056640625,161.88099670410156,40.63886260986328,230.9499969482422,91.90045166015625,244.531494140625,145.9852294921875,114.57833099365234,199.0671844482422,262.9366149902344,228.74075317382812,13.013694763183594,57.17007827758789,114.90872955322266,278.4766540527344,309.2810974121094,190.76760864257812,44.677040100097656,37.39604568481445,351.5486145019531,4.1725189937391605e-05
2021-01-29,128.336669921875,160.30999755859375,40.52730941772461,227.8699951171875,90.61903381347656,238.17300415039062,140.78140258789062,113.31021881103516,197.03030395507812,256.31854248046875,222.06802368164062,12.952621459960938,56.432334899902344,113.01356506347656,264.510009765625,305.10125732421875,185.98443603515625,43.663841247558594,36.405521392822266,344.5107116699219,4.3138628067262985e-05
2021-02-01,130.4568328857422,167.1439971923828,41.988277435302734,229.32000732421875,93.87761688232422,237.51339721679688,140.4188690185547,114.14682006835938,192.454345703125,259.9698791503906,229.43003845214844,13.199164390563965,57.440887451171875,113.68348693847656,279.9366760253906,305.48541259765625,190.90231323242188,43.28466033935547,36.47047805786133,350.2452697753906,4.251049420678221e-05
2021-02-02,131.2835235595703,169.0,42.90047073364258,232.24000549316406,95.16943359375,239.3515167236328,139.1588897705078,117.66053009033203,187.1678466796875,265.0003662109375,229.2959747314453,13.518000602722168,58.24399185180664,113.52482604980469,290.92999267578125,309.8025207519531,194.99249267578125,43.75086212158203,37.046939849853516,355.1978454589844,4.360966114447251e-05
2021-02-03,130.26231384277344,165.62649536132812,41.84884262084961,232.67999267578125,102.10013580322266,241.11915588378906,138.5116729736328,119.00786590576172,186.59947204589844,264.5736999511719,232.63719177246094,13.491827011108398,58.05723190307617,113.66582489013672,284.89666748046875,309.0433654785156,193.78953552246094,43.88450241088867,38.50022888183594,355.4770812988281,4.463004571086948e-05
2021-02-04,133.61758422851562,166.5500030517578,42.33822250366211,235.77000427246094,101.83979797363281,245.2086181640625,139.79751586914062,121.74661254882812,191.01426696777344,264.4150085449219,231.68942260742188,13.62519359588623,59.15916061401367,113.73635864257812,283.3299865722656,301.2049255371094,201.38287353515625,44.297855377197266,39.23905944824219,359.51739501953125,4.4943957985488225e-05
2021-02-05,133.20364379882812,167.6074981689453,41.922603607177734,235.16000366210938,103.58537292480469,245.24378967285156,141.92051696777344,121.50885009765625,191.15643310546875,266.012451171875,231.8712921142578,13.552152633666992,59.39262008666992,114.2123794555664,284.07666015625,296.80560302734375,200.92095947265625,44.86662292480469,40.55433654785156,360.932373046875,4.616012806613057e-05
2021-02-08,133.34976196289062,166.14700317382812,42.524444580078125,237.4199981689453,103.37163543701172,246.27281188964844,142.3261260986328,123.4110107421875,194.9459991455078,264.5043029785156,232.1297607421875,14.397480010986328,58.935035705566406,113.85977172851562,287.8066711425781,296.650146484375,199.11160278320312,45.07486343383789,42.2999153137207,363.53900146484375,4.576785479137868e-05
2021-02-09,132.47311401367188,165.25,42.69807434082031,239.91000366210938,102.91888427734375,243.40573120117188,143.49119567871094,122.91785430908203,191.09959411621094,267.35198974609375,233.3743438720703,14.222481727600098,59.4579963684082,113.4190444946289,283.1533203125,301.488525390625,198.7555389404297,45.32350158691406,41.80450439453125,363.2969665527344,4.565016434199265e-05
2021-02-10,131.86927795410156,164.32899475097656,42.28604507446289,239.9199981689453,103.46882629394531,245.09429931640625,143.9572296142578,122.98831176757812,193.6385955810547,269.7530822753906,232.46487426757812,14.722049713134766,59.08445358276367,113.02236938476562,268.2733459472656,304.9366149902344,198.6785430908203,44.79513931274414,42.2090950012207,363.1387023925781,4.4708524928882554e-05
2021-02-11,131.61602783203125,163.10650634765625,43.036319732666016,239.75999450683594,103.5813980102539,243.66082763671875,143.30996704101562,122.64488220214844,192.7252960205078,268.2846374511719,234.06361389160156,15.207159042358398,58.55215835571289,113.11933898925781,270.5533447265625,304.63482666015625,203.0546112060547,44.760955810546875,41.1522102355957,363.7252197265625,4.568939643689873e-05
2021-02-12,131.84979248046875,163.885498046875,43.74970626831055,242.4600067138672,103.89282989501953,244.05661010742188,143.75869750976562,124.38850402832031,197.2061767578125,268.3937683105469,234.5422821044922,14.918486595153809,58.90702819824219,112.4935073852539,272.0400085449219,300.2171630859375,202.37994384765625,44.900814056396484,41.71367645263672,365.5219421386719,4.73367208886355e-05
2021-02-16,129.72647094726562,163.44749450683594,44.00249099731445,245.27999877929688,104.6698989868164,242.19219970703125,142.45559692382812,127.38265228271484,195.75064086914062,271.8367919921875,233.30731201171875,15.286430358886719,58.029205322265625,112.75792694091797,265.40667724609375,296.90618896484375,200.39425659179688,45.270660400390625,42.96872329711914,365.2053527832031,5.12170012056945e-05
2021-02-17,127.43755340576172,165.4320068359375,43.40427017211914,245.25,105.06266784667969,247.05551147460938,142.96475219726562,127.77891540527344,196.41659545898438,271.4399108886719,234.32443237304688,14.863394737243652,57.982513427734375,113.23394012451172,266.04998779296875,298.95501708984375,200.0183563232422,45.749290466308594,43.63752365112305,365.2892150878906,5.12953507865177e-05
2021-02-18,126.33699798583984,166.4114990234375,43.474430084228516,243.5,104.42741394042969,248.9286346435547,143.0337371826172,128.21043395996094,191.33631896972656,267.2924499511719,233.93104553222656,14.786615371704102,57.96383285522461,114.17710876464844,262.4599914550781,300.37261962890625,201.7919464111328,42.78428649902344,42.95220947265625,363.7345886230469,5.074686202100054e-05
2021-02-19,126.49278259277344,162.4949951171875,44.07716369628906,241.85000610351562,103.58438110351562,245.92979431152344,140.65191650390625,130.35035705566406,191.1460418701172,259.52337646484375,231.22506713867188,14.883837699890137,57.086029052734375,112.05276489257812,260.4333190917969,296.8695983886719,197.33871459960938,42.99562072753906,43.24119186401367,363.0921630859375,5.3018675218563516e-05
2021-02-22,122.72343444824219,159.03700256347656,42.853702545166016,244.97000122070312,101.87104034423828,242.59669494628906,140.56507873535156,131.5744171142578,190.91770935058594,258.302978515625,225.0263214111328,14.314718246459961,60.1863899230957,111.57674407958984,238.1666717529297,299.6683654785156,200.7991180419922,42.79360580444336,44.834774017333984,360.29937744140625,5.399750326207098e-05
2021-02-23,122.58708190917969,159.72500610351562,42.45246887207031,245.52999877929688,102.1616439819336,235.02459716796875,139.32327270507812,132.63116455078125,192.63018798828125,263.7899169921875,223.83645629882812,14.101578712463379,60.23308563232422,112.40534210205078,232.94667053222656,301.3787536621094,204.4522705078125,42.10365295410156,45.454036712646484,360.73687744140625,5.3684303517265164e-05
2021-02-24,122.0903549194336,157.97650146484375,43.26032638549805,248.4499969482422,103.33641815185547,228.6309814453125,141.19032287597656,134.96484375,194.57090759277344,262.251953125,225.06471252441406,14.457558631896973,60.41985321044922,112.52873992919922,247.33999633789062,303.8482360839844,211.50796508789062,41.401241302490234,46.81641387939453,364.71197509765625,5.474125458082568e-05
2021-02-25,117.84373474121094,152.85800170898438,41.126461029052734,243.69000244140625,99.97122955322266,224.47998046875,141.33790588378906,133.13311767578125,193.90496826171875,252.70687866210938,219.7295379638672,13.269462585449219,60.980167388916016,111.57674407958984,227.4066619873047,300.79345703125,206.03305053710938,41.00963592529297,46.0402717590332,355.9239501953125,5.978725043287447e-05
2021-02-26,118.10670471191406,154.64649963378906,42.26985549926758,240.50999450683594,100.26679992675781,227.19744873046875,137.6038818359375,129.60179138183594,194.92295837402344,255.61407470703125,222.9824676513672,13.675301551818848,60.242427825927734,108.88827514648438,225.1666717529297,303.8573913574219,204.72216796875,40.37872314453125,44.89256286621094,354.0900573730469,5.7519299117680944e-05
2021-03-01,124.4668960571289,157.3070068359375,44.0429801940918,249.2100067138672,102.63472747802734,230.08204650878906,138.35069274902344,132.5343475341797,196.42608642578125,262.84735107421875,227.35800170898438,13.802184104919434,61.792625427246094,109.55819702148438,239.47666931152344,306.0799255371094,208.80908203125,40.82937240600586,46.568721771240234,362.6731872558594,5.69716665508313e-05
2021-03-02,121.8663330078125,154.72650146484375,43.22703170776367,249.22000122070312,102.37784576416016,228.91241455078125,138.09019470214844,132.10275268554688,194.2094268798828,256.98333740234375,224.4121551513672,13.367931365966797,62.25019454956055,109.21441650390625,228.81333923339844,306.07086181640625,207.9801788330078,40.43777084350586,46.296226501464844,359.8431701660156,5.5758787981252667e-05
2021-03-03,118.88590240478516,150.25,41.65721893310547,251.5500030517578,99.74610137939453,226.3355712890625,135.65867614746094,134.65663146972656,192.1735076904297,253.42127990722656,218.3573760986328,12.768152236938477,62.48366165161133,108.56211853027344,217.73333740234375,304.4518737792969,207.0933837890625,39.65455627441406,46.66779708862305,355.0768127441406,5.791041715963452e-05
2021-03-04,117.00606536865234,148.8784942626953,39.90568161010742,245.47999572753906,100.86286926269531,220.68069458007812,132.92332458496094,132.58714294433594,190.78453063964844,255.6339111328125,217.5609588623047,12.334892272949219,61.2696533203125,107.6718521118164,207.14666748046875,305.3116760253906,203.86431884765625,39.63591003417969,48.47604751586914,350.6828308105469,6.103798007806027e-05
2021-03-05,118.26253509521484,150.0229949951172,40.49493408203125,253.14999389648438,103.9939956665039,222.95851135253906,135.55450439453125,132.89540100097656,196.85415649414062,262.22222900390625,222.23403930664062,12.425881385803223,65.34123992919922,111.0478744506836,199.31666564941406,317.467041015625,207.6331787109375,40.13008499145508,50.30907440185547,357.1341552734375,6.119429659245945e-05
2021-03-08,113.33413696289062,147.59750366210938,37.89596176147461,257.6099853515625,99.55220031738281,227.80429077148438,136.68341064453125,134.65663146972656,196.95883178710938,253.32205200195312,218.19427490234375,11.560113906860352,67.38636779785156,112.22024536132812,187.6666717529297,320.2749328613281,212.3176727294922,39.744693756103516,50.25952911376953,355.3561096191406,6.283521956840232e-05
2021-03-09,117.94112396240234,153.1425018310547,39.906578063964844,259.0199890136719,101.1817398071289,233.01943969726562,136.9439239501953,133.70553588867188,196.08358764648438,263.67083740234375,224.32586669921875,12.488775253295898,67.83458709716797,111.22416687011719,224.52667236328125,321.9305114746094,212.4044189453125,40.05860137939453,49.483375549316406,360.4296875,6.0881662089284916e-05
2021-03-10,116.8599853515625,152.8820037841797,39.36592483520508,263.989990234375,100.97496032714844,235.61236572265625,138.2030487060547,136.6116180419922,195.45567321777344,262.83734130859375,223.02085876464844,12.436904907226562,67.3489761352539,112.24667358398438,222.68666076660156,319.753662109375,215.1129608154297,41.08112716674805,51.002647399902344,362.6731872558594,5.986543166569547e-05
2021-03-11,118.78849029541016,155.67950439453125,40.81428909301758,260.9100036621094,104.16606140136719,237.92218017578125,138.19436645507812,135.8983154296875,195.22738647460938,271.7474670410156,227.54037475585938,12.960833549499512,62.95058822631836,111.8676528930664,233.1999969482422,322.9548645019531,217.98536682128906,41.065574645996094,50.62282943725586,366.3504638671875,6.013905622959115e-05
2021-03-12,117.88267517089844,154.47450256347656,40.58759689331055,260.0199890136719,101.6597900390625,241.68325805664062,138.59381103515625,137.50985717773438,197.9577178955078,266.31011962890625,226.21617126464844,12.82367992401123,62.71712112426758,112.95185089111328,231.2433319091797,326.7823791503906,216.26004028320312,41.68406295776367,51.167789459228516,366.84381103515625,6.435833253171097e-05
2021-03-15,120.76570129394531,154.08399963378906,42.35082244873047,254.61000061035156,101.87996673583984,246.49740600585938,139.30593872070312,136.8229522705078,179.95809936523438,271.6185302734375,225.314208984375,13.158084869384766,63.24941635131836,113.32207489013672,235.97999572753906,324.8180847167969,215.20936584472656,41.4696159362793,49.86320114135742,369.0315246582031,6.326487556274074e-05
2021-03-16,122.30461120605469,154.59300231933594,43.017433166503906,251.5,103.34040069580078,249.6301727294922,140.13088989257812,135.1849822998047,181.6134796142578,277.1054382324219,228.09693908691406,13.257833480834961,62.4276237487793,113.65704345703125,225.6266632080078,325.47900390625,216.58775329589844,41.457183837890625,48.80632400512695,368.5660705566406,6.381164388580274e-05
2021-03-17,121.51568603515625,156.7864990234375,43.504119873046875,252.0,103.25758361816406,247.81605529785156,139.6098175048828,136.5763702392578,177.64634704589844,281.798583984375,227.45399475097656,13.307709693908691,61.83932113647461,113.19866943359375,233.93666076660156,323.2576904296875,214.9683837890625,41.112205505371094,49.02099609375,369.82281494140625,6.45926073645775e-05
2021-03-18,117.39569091796875,151.39950561523438,41.755279541015625,252.4600067138672,100.238525390625,250.58595275878906,139.3493194580078,138.8307647705078,174.9825439453125,276.4505310058594,221.38958740234375,12.690515518188477,62.32490158081055,113.44547271728516,217.72000122070312,332.3171081542969,212.69358825683594,40.57539367675781,46.90724563598633,364.4420471191406,6.806604259845805e-05
2021-03-19,116.86972045898438,153.7480010986328,43.01641082763672,250.99000549316406,100.5172119140625,255.84263610839844,138.97593688964844,136.62039184570312,175.32504272460938,287.85107421875,221.03453063964844,12.813453674316406,61.87666320800781,112.83727264404297,218.2899932861328,335.5572204589844,199.4303741455078,41.11532211303711,46.64301681518555,363.7676696777344,6.814406155308816e-05
2021-03-22,120.18128967285156,155.5435028076172,43.09075927734375,250.36000061035156,100.70219421386719,255.70101928710938,139.37539672851562,132.94818115234375,176.7996368408203,291.2544250488281,226.44647216796875,13.153095245361328,61.93269348144531,114.75006103515625,223.3333282470703,336.7320861816406,200.4906463623047,41.31193542480469,46.16412353515625,366.6723937988281,6.627116160018431e-05
2021-03-23,119.3534164428711,156.875,42.07350540161133,248.30999755859375,101.2298355102539,256.62139892578125,139.2451171875,131.61849975585938,174.7447052001953,288.3670349121094,227.97215270996094,13.03788948059082,62.819847106933594,116.8832015991211,220.72000122070312,338.2374267578125,200.63525390625,41.80193328857422,45.594398498535156,363.7863464355469,6.447547167010015e-05
2021-03-24,116.96710968017578,154.35350036621094,41.4578971862793,249.6300048828125,100.79344177246094,259.0727233886719,140.5997772216797,132.63998413085938,171.4054412841797,279.9431457519531,225.9379119873047,12.611213684082031,62.408958435058594,116.84796905517578,210.08999633789062,340.16497802734375,200.55812072753906,41.542877197265625,46.519168853759766,361.9370422363281,6.353826677552021e-05
2021-03-25,117.45411682128906,152.31300354003906,41.85954666137695,250.75,100.78997802734375,262.9931335449219,140.65191650390625,134.33961486816406,174.1834259033203,276.5696105957031,222.94406127929688,12.50373649597168,64.08988189697266,117.65892791748047,213.4633331298828,340.61468505859375,200.46173095703125,41.82378005981445,46.387062072753906,363.9731750488281,6.353826677552021e-05
2021-03-26,118.05799865722656,152.60150146484375,43.70364761352539,256.7699890136719,100.40664672851562,268.8603820800781,143.2222900390625,136.5763702392578,176.29537963867188,280.8162841796875,226.91665649414062,12.806970596313477,65.60269927978516,119.39542388916016,206.23666381835938,345.5621032714844,205.82101440429688,42.17332458496094,47.650367736816406,369.8385314941406,6.533437904820971e-05
2021-03-29,118.23332977294922,153.7864990234375,42.84959411621094,258.82000732421875,101.45101165771484,267.4356689453125,144.1862030029297,134.4540557861328,177.2753143310547,288.5556335449219,225.726806640625,12.915695190429688,66.42449188232422,121.2641372680664,203.76333618164062,347.93023681640625,206.765625,42.65394592285156,47.3943977355957,369.65179443359375,6.771493141988216e-05
2021-03-30,116.78207397460938,152.76449584960938,41.35726547241211,258.19000244140625,101.48472595214844,269.7541809082031,143.29177856445312,136.03919982910156,176.47616577148438,285.75750732421875,222.47390747070312,12.839390754699707,65.88285064697266,119.39542388916016,211.8733367919922,342.8818664550781,204.24986267089844,42.36369705200195,46.80815887451172,368.67108154296875,6.790999545547294e-05
2021-03-31,118.97357177734375,154.70399475097656,42.0372428894043,255.47000122070312,102.28065490722656,270.1347961425781,142.71864318847656,134.05780029296875,177.73196411132812,292.2366943359375,226.2353515625,13.314692497253418,65.52798461914062,119.3778076171875,222.64332580566406,341.5142822265625,204.08595275878906,42.391780853271484,46.09806823730469,370.1654357910156,6.869016076227474e-05
2021-04-01,119.80144500732422,158.0500030517578,43.15150451660156,258.20001220703125,105.61607360839844,272.3471374511719,141.39871215820312,135.36111450195312,176.22885131835938,296.33453369140625,232.54925537109375,13.77702808380127,67.05950927734375,118.3641128540039,220.5833282470703,336.9249267578125,209.03079223632812,42.326255798339844,47.386138916015625,374.1628723144531,6.607601731256629e-05
2021-04-05,122.62605285644531,161.3365020751953,44.28752136230469,262.6600036621094,110.03852844238281,279.11712646484375,141.91973876953125,136.07864379882812,175.89585876464844,306.50469970703125,238.99752807617188,13.952333450317383,69.25403594970703,120.2768783569336,230.35000610351562,339.7794189453125,211.13204956054688,43.515323638916016,46.651283264160156,379.5333251953125,6.767592025735958e-05
